model,model_id,design,prompt,digits,samples_per_cell,median_p_published,fires_published,median_p_corrected,fires_corrected
claude-fable,claude-fable-5-1,repeated-digit,echoed,15,100,0.9989,no,0.6906,no
claude-fable,claude-fable-5-1,random-k,echoed,15,50,1.0000,no,0.2140,no
claude-fable,claude-fable-5-1,window-k,echoed,15,50,1.0000,no,0.2227,no
claude-fable,claude-fable-5-1,window-k,echoed,40,50,1.0000,no,0.8482,no
claude-fable,claude-fable-5-1,window-k,no-echo,15,100,0.1554,no,0.0063,YES
claude-fable,claude-fable-5-1,window-k,no-echo,40,50,0.0814,no,0.0000,YES
claude-opus,claude-opus-4-8,repeated-digit,echoed,15,100,1.0000,no,0.1780,no
claude-opus,claude-opus-4-8,random-k,echoed,15,50,1.0000,no,0.0003,YES
claude-opus,claude-opus-4-8,window-k,echoed,15,50,1.0000,no,0.6986,no
claude-opus,claude-opus-4-8,window-k,no-echo,15,50,1.0000,no,0.8181,no
claude-opus,claude-opus-4-8,window-k,no-echo,40,50,0.1429,no,0.0275,YES
claude-sonnet,claude-sonnet-5,repeated-digit,echoed,15,100,0.9933,no,0.7270,no
claude-sonnet,claude-sonnet-5,random-k,echoed,15,50,0.9846,no,0.8373,no
claude-sonnet,claude-sonnet-5,window-k,echoed,15,50,0.9928,no,0.9204,no
claude-sonnet,claude-sonnet-5,window-k,no-echo,15,50,0.6288,no,0.4692,no
claude-sonnet,claude-sonnet-5,window-k,no-echo,40,49,0.9911,no,0.8415,no
gemini,gemini-3.5-flash,repeated-digit,echoed,15,100,0.5796,no,0.7459,no
gemini,gemini-3.5-flash,repeated-digit,echoed,25,50,0.6552,no,0.8369,no
gemini,gemini-3.5-flash,random-k,echoed,15,50,0.0049,YES,0.0006,YES
gemini,gemini-3.5-flash,window-k,echoed,15,50,0.0006,YES,0.0001,YES
gemini,gemini-3.5-flash,window-k,echoed,40,50,0.0001,YES,0.0003,YES
gemini,gemini-3.5-flash,window-k,no-echo,15,50,0.0000,YES,0.0000,YES
gemini,gemini-3.5-flash,window-k,no-echo,40,50,0.0000,YES,0.0000,YES
gpt,gpt-5.2,random-k,echoed,15,50,0.7042,no,0.6634,no
gpt,gpt-5.2,window-k,echoed,15,50,0.7227,no,0.8941,no
